name,type,website,image
University of Maryland,signature,http://www.umd.edu/,umd
Amazon Web Services,resource,https://aws.amazon.com/,aws
Creative Market,resource,https://creativemarket.com/,creativemarket
Digital Ocean,resource,https://www.digitalocean.com/,digitalocean
Dingman Center,campus,http://www.rhsmith.umd.edu/centers-excellence/dingman-center-entrepreneurship,dingman
Dropbox,resource,https://www.dropbox.com/,dropbox
Finnegan,legal,http://www.finnegan.com/,finnegan
Neelbauer Law LLC,legal,http://www.neelbauerlaw.com/,neelbauerlawllc
MTech,campus,http://www.mtech.umd.edu/,mtech
A. James Clark School of Engineering,campus,http://www.eng.umd.edu/,eng
Terrapin Works,campus,https://terrapinworks.umd.edu/,terrapinworks
Startup Village,resource,http://www.startupvillagecp.com/,sv
Stripe Atlas,resource,https://stripe.com/atlas/,stripe
Atlassian,resource,https://atlassian.com/,atlassian
HubSpot for Startups,resource,https://hubspot.com/startups/,hubspot
Front,resource,https://frontapp.com/,front
WeWork,resource,https://wework.com,wework
Drew Eckl & Farnham,legal,https://deflaw.com,def
SolidWorks,resource,https://solidworks.com,solidworks
